date,分红年度,送股,转增,派息,股权登记日,Ex-dividend-date,红股上市日
2023/6/7,,0,0,2.85,2023/6/13,2023/6/14,--
2022/7/15,,0,0,2.18,2022/7/21,2022/7/22,--
2021/5/7,2020,0,0,1.8,2021/5/13,"	2021/05/14",--
2020/5/22,2019,0,0,2.18,2020/5/27, 2020/05/28,--
2019/6/20,2018,0,0,1.45,2019/6/25, 2019/06/26,--
2018/7/6,2017,0,0,1.36,2018/7/11, 2018/07/12,--
2017/7/17,2016,0,0,1.58,2017/7/20, 2017/07/21,--
2016/6/8,2015,0,2,1.53,2016/6/15, 2016/06/16,2016/6/16
2015/4/7,2014,0,2,1.74,2015/4/10, 2015/04/13,2015/4/13
2014/6/6,2013,0,2,1.6,2014/6/11, 2014/06/12,2014/6/12
2013/6/14,2012,6,0,1.7,2013/6/19, 2013/06/20,2013/6/20
2012/10/12,2012,0,0,1,2012/10/18, 2012/10/19,--
2008/10/24,2008,3,0,0.34,2008/10/30, 2008/10/31,2008/10/31
2003/9/23,2002,0,0,1.5,2003/9/26, 2003/09/29,--
2002/7/17,2001,0,0,1.5,2002/7/22, 2002/07/23,--
1999/10/16,1999,0,0,6,1999/10/15, 1999/10/18,--
1997/8/19,1996,5,0,2,1997/8/22, 1997/08/25,1997/8/27
1996/5/23,1995,5,5,0,1996/5/24, 1996/05/27,1996/5/29
1995/9/15,1994,2,0,3,1995/9/22, 1995/09/25,1995/9/27
1994/7/2,1993,3,2,5,1994/7/8, 1994/07/11,1994/7/14
1993/5/9,1992,4,5,3,1993/5/21,1993/5/24,1993/5/24
1991/3/3,1990,4,0,3,1991/3/12,1991/4/3,--
