date,open,high,low,close,volume,KDJ.K,KDJ.D,KDJ.J,MACD.DIF,MACD.DEA,MACD.MACD,close_adjust,bonus_flag
1992-01-02,29.15,29.4,29.0,29.15,188600.0,66.51,60.89,77.74,0.1,-0.11,0.41,-1.21,0
1992-01-03,29.2,29.3,29.0,29.1,221200.0,68.23,63.33,78.01,0.14,-0.06,0.39,-1.21,0
1992-01-06,29.1,29.8,29.05,29.7,263400.0,68.82,65.16,76.13,0.16,-0.01,0.35,-1.2,0
1992-01-07,29.7,30.2,29.55,29.9,293100.0,74.21,68.18,86.28,0.23,0.04,0.39,-1.2,0
1992-01-08,29.8,30.2,29.55,29.65,192800.0,78.26,71.54,91.71,0.29,0.09,0.41,-1.2,0
1992-01-09,29.7,29.8,29.3,29.7,153500.0,77.17,73.42,84.69,0.32,0.13,0.37,-1.2,0
1992-01-10,29.65,29.8,29.5,29.8,152500.0,75.52,74.12,78.33,0.34,0.18,0.34,-1.2,0
1992-01-13,29.8,29.8,29.6,29.65,135300.0,74.16,74.13,74.21,0.36,0.21,0.3,-1.2,0
1992-01-14,29.65,29.65,29.0,29.2,171100.0,69.68,72.65,63.74,0.36,0.24,0.24,-1.21,0
1992-01-15,29.2,29.4,29.0,29.1,220500.0,52.01,65.77,24.49,0.33,0.26,0.13,-1.21,0
1992-01-16,29.0,29.0,28.55,28.9,126800.0,37.45,56.33,-0.31,0.28,0.26,0.04,-1.21,0
1992-01-17,28.9,28.9,28.35,28.8,114300.0,32.04,48.23,-0.35,0.23,0.26,-0.06,-1.21,0
1992-01-20,28.8,29.5,28.8,29.45,108500.0,29.47,41.98,4.45,0.18,0.24,-0.13,-1.21,0
1992-01-21,29.5,29.8,29.2,29.3,157600.0,39.46,41.14,36.11,0.19,0.23,-0.09,-1.21,0
1992-01-22,29.25,29.3,28.8,28.95,159200.0,48.15,43.48,57.49,0.18,0.22,-0.08,-1.21,0
1992-01-23,28.95,29.3,28.95,29.2,147700.0,45.89,44.28,49.11,0.14,0.21,-0.12,-1.21,0
1992-01-24,29.25,29.7,29.05,29.05,232700.0,50.13,46.23,57.94,0.14,0.19,-0.11,-1.21,0
1992-01-27,29.55,29.6,29.3,29.4,257100.0,49.52,47.33,53.89,0.11,0.18,-0.12,-1.21,0
1992-01-28,29.4,29.5,29.35,29.5,233600.0,57.15,50.6,70.24,0.12,0.17,-0.08,-1.2,0
1992-01-29,29.5,30.05,29.5,30.0,212700.0,64.54,55.25,83.12,0.14,0.16,-0.04,-1.2,0
1992-01-30,29.95,30.35,29.95,30.2,173500.0,75.38,61.96,102.22,0.19,0.17,0.05,-1.2,0
1992-02-01,31.15,32.0,31.15,32.0,222800.0,80.36,68.09,104.9,0.24,0.18,0.12,-1.18,0
1992-02-02,32.0,32.7,31.9,32.32,173500.0,86.91,74.36,111.99,0.42,0.23,0.39,-1.17,0
1992-02-10,32.3,32.5,30.9,31.6,164400.0,88.02,78.92,106.24,0.59,0.3,0.57,-1.18,0
1992-02-13,31.9,32.0,31.8,32.0,181200.0,82.24,80.02,86.67,0.65,0.37,0.56,-1.18,0
1992-02-14,32.0,32.1,31.8,31.8,192400.0,81.77,80.6,84.09,0.73,0.44,0.57,-1.18,0
1992-02-18,31.2,31.25,30.7,31.0,195500.0,79.02,80.08,76.91,0.76,0.51,0.51,-1.19,0
1992-02-19,31.0,31.2,30.2,31.05,194600.0,69.1,76.42,54.46,0.71,0.55,0.33,-1.19,0
1992-02-20,31.0,32.0,31.0,31.0,129600.0,62.21,71.68,43.27,0.67,0.57,0.2,-1.19,0
1992-02-21,31.8,31.9,31.6,31.65,171000.0,54.2,65.85,30.89,0.63,0.58,0.09,-1.18,0
1992-02-24,31.65,31.65,30.5,31.1,140500.0,55.47,62.39,41.62,0.64,0.6,0.09,-1.19,0
1992-02-25,31.2,31.2,30.8,30.95,123100.0,48.98,57.92,31.09,0.6,0.6,0.01,-1.19,0
1992-02-26,31.0,31.0,30.05,30.55,141900.0,43.52,53.12,24.32,0.55,0.59,-0.08,-1.19,0
1992-02-27,30.7,31.0,30.5,31.0,203300.0,37.14,47.8,15.84,0.47,0.56,-0.19,-1.19,0
1992-02-28,31.0,31.75,31.0,31.55,233500.0,40.21,45.27,30.1,0.44,0.54,-0.2,-1.18,0
1992-03-02,31.7,32.0,31.6,31.7,313700.0,52.45,47.66,62.02,0.45,0.52,-0.14,-1.18,0
1992-03-03,31.8,31.85,31.55,31.7,315000.0,63.17,52.83,83.85,0.47,0.51,-0.08,-1.18,0
1992-03-04,31.8,31.9,31.55,31.75,228800.0,70.32,58.66,93.64,0.48,0.5,-0.05,-1.18,0
1992-03-05,31.7,32.0,31.65,31.95,273300.0,75.94,64.42,98.98,0.48,0.5,-0.03,-1.18,0
1992-03-09,32.25,32.9,32.25,32.4,351500.0,83.1,70.65,108.02,0.5,0.5,0.0,-1.17,0
1992-03-10,32.5,32.5,31.9,32.1,228400.0,82.89,74.73,99.21,0.54,0.51,0.06,-1.17,0
1992-03-11,32.0,32.2,32.0,32.15,273800.0,79.24,76.23,85.25,0.54,0.51,0.06,-1.17,0
1992-03-12,32.1,32.25,32.0,32.25,261500.0,75.74,76.07,75.09,0.54,0.52,0.04,-1.17,0
1992-03-13,32.3,32.3,32.15,32.3,317000.0,72.42,74.85,67.56,0.54,0.53,0.04,-1.17,0
1992-03-16,32.45,32.9,32.35,32.8,490100.0,66.8,72.17,56.06,0.54,0.53,0.03,-1.17,0
1992-03-17,32.9,33.0,32.8,32.85,310600.0,75.4,73.25,79.7,0.58,0.54,0.08,-1.17,0
1992-03-18,32.85,32.95,32.75,32.9,605900.0,80.15,75.55,89.36,0.6,0.55,0.1,-1.17,0
1992-03-19,32.9,32.9,32.6,32.6,228600.0,84.3,78.46,95.97,0.62,0.56,0.1,-1.17,0
1992-03-20,32.75,32.75,32.2,32.45,256300.0,77.41,78.11,76.01,0.6,0.57,0.05,-1.17,0
1992-03-23,21.5,22.05,21.05,21.9,486500.0,68.27,74.83,55.16,0.56,0.57,-0.01,-1.16,0
1992-03-24,22.0,22.1,21.85,22.1,647600.0,47.89,65.85,11.96,-0.31,0.39,-1.41,-1.16,0
1992-03-25,22.1,23.3,22.0,23.15,665200.0,34.85,55.52,-6.48,-0.98,0.12,-2.19,-1.14,0
1992-03-27,24.2,24.3,23.5,23.9,731300.0,29.09,46.71,-6.14,-1.4,-0.19,-2.44,-1.13,0
1992-03-30,23.9,25.2,23.8,24.9,777200.0,27.35,40.26,1.53,-1.66,-0.48,-2.36,-1.11,0
1992-04-01,26.35,27.05,26.35,26.9,796500.0,28.97,36.49,13.92,-1.77,-0.74,-2.06,-1.08,0
1992-04-02,26.9,27.1,26.0,26.05,654400.0,35.7,36.23,34.64,-1.67,-0.92,-1.49,-1.09,0
1992-04-03,26.2,26.2,25.3,25.95,623300.0,37.86,36.77,40.05,-1.64,-1.07,-1.14,-1.09,0
1992-04-06,26.1,27.7,26.1,27.5,645600.0,39.2,37.58,42.44,-1.61,-1.17,-0.86,-1.07,0
1992-04-07,27.65,28.5,27.0,28.0,872500.0,58.47,44.54,86.31,-1.44,-1.23,-0.42,-1.06,0
1992-04-08,28.15,29.9,28.15,28.95,1315300.0,69.8,52.96,103.48,-1.25,-1.23,-0.04,-1.04,0
1992-04-09,29.0,29.6,28.4,29.2,910900.0,75.86,60.6,106.39,-1.01,-1.19,0.35,-1.04,0
1992-04-10,29.35,29.8,29.0,29.6,767700.0,80.26,67.15,106.48,-0.8,-1.11,0.63,-1.03,0
1992-04-13,29.75,33.8,29.75,32.95,740900.0,85.2,73.17,109.27,-0.59,-1.01,0.84,-0.97,0
1992-04-14,33.1,34.5,32.2,32.5,1053200.0,86.8,77.71,104.98,-0.15,-0.83,1.37,-0.98,0
1992-04-15,32.65,33.5,30.2,30.6,831100.0,83.95,79.79,92.28,0.16,-0.63,1.6,-1.01,0
1992-04-16,30.75,33.0,30.75,32.85,917700.0,75.17,78.25,69.01,0.25,-0.46,1.42,-0.97,0
1992-04-17,33.0,33.1,31.9,32.0,971400.0,76.9,77.8,75.1,0.5,-0.26,1.53,-0.99,0
1992-04-20,32.15,32.5,31.0,31.55,599300.0,73.49,76.36,67.74,0.62,-0.09,1.42,-1.0,0
1992-04-21,31.7,31.9,31.0,31.5,659700.0,66.84,73.19,54.14,0.67,0.06,1.21,-1.0,0
1992-04-22,31.65,33.1,31.5,32.8,627600.0,61.5,69.29,45.91,0.7,0.19,1.02,-0.98,0
1992-04-23,32.95,34.1,32.95,33.45,852300.0,64.03,67.54,57.01,0.82,0.32,1.0,-0.96,0
1992-04-24,33.5,34.3,33.5,34.0,898300.0,68.65,67.91,70.14,0.95,0.44,1.02,-0.95,0
1992-04-27,34.15,34.9,33.5,33.8,854600.0,75.23,70.35,84.98,1.09,0.57,1.04,-0.96,0
1992-04-28,33.95,34.5,33.5,34.5,962400.0,75.68,72.13,82.79,1.17,0.69,0.96,-0.95,0
1992-04-29,34.65,36.0,34.65,36.0,926600.0,80.58,74.94,91.84,1.28,0.81,0.93,-0.92,0
1992-04-30,36.15,38.7,36.15,38.5,806100.0,87.05,78.98,103.19,1.46,0.94,1.05,-0.88,0
1992-05-03,38.65,42.7,38.65,41.15,844900.0,90.5,82.82,105.86,1.79,1.11,1.37,-0.83,0
1992-05-04,41.3,43.8,40.9,43.6,1146200.0,89.25,84.96,97.83,2.24,1.34,1.81,-0.79,0
1992-05-05,43.45,47.6,43.45,46.95,1080500.0,92.29,87.41,102.06,2.76,1.62,2.28,-0.73,0
1992-05-06,47.1,48.55,45.5,46.0,899900.0,93.38,89.4,101.35,3.41,1.98,2.86,-0.75,0
1992-05-07,46.15,46.15,42.65,43.55,1015200.0,89.94,89.58,90.66,3.8,2.34,2.91,-0.79,0
1992-05-08,43.7,44.1,42.0,42.6,1072600.0,82.22,87.13,72.41,3.87,2.65,2.44,-0.81,0
1992-05-11,42.75,43.8,41.5,43.75,1039000.0,74.97,83.07,58.76,3.8,2.88,1.84,-0.79,0
1992-05-12,43.9,47.2,43.9,46.4,796900.0,71.8,79.32,56.77,3.8,3.06,1.47,-0.74,0
1992-05-13,46.55,47.5,46.2,46.3,848900.0,75.42,78.02,70.23,3.96,3.24,1.44,-0.74,0
1992-05-14,46.45,46.45,44.9,45.45,891200.0,76.04,77.36,73.4,4.04,3.4,1.27,-0.76,0
1992-05-15,45.6,46.2,44.95,45.35,862300.0,70.52,75.08,61.4,3.98,3.52,0.93,-0.76,0
1992-05-18,45.5,45.5,44.0,44.8,888300.0,65.22,71.79,52.07,3.89,3.59,0.59,-0.77,0
1992-05-19,44.95,46.55,44.7,46.45,1068100.0,59.08,67.55,42.13,3.72,3.62,0.21,-0.74,0
1992-05-20,46.6,47.65,45.0,45.1,966500.0,66.89,67.33,66,3.68,3.63,0.11,-0.76,0
1992-05-21,45.25,45.25,43.6,45.0,642600.0,64.1,66.26,59.8,3.5,3.61,-0.2,-0.76,0
1992-05-22,45.15,45.25,44.2,44.4,618000.0,61.71,64.74,55.64,3.32,3.55,-0.46,-0.77,0
1992-05-25,44.55,45.5,44.3,45.45,904600.0,47.72,59.07,25.03,3.08,3.45,-0.75,-0.76,0
1992-05-26,45.6,46.6,45.6,46.5,840900.0,47.04,55.06,31.01,2.95,3.35,-0.81,-0.74,0
1992-05-27,46.65,47.2,45.9,46.0,942400.0,55.23,55.11,55.46,2.89,3.26,-0.74,-0.75,0
1992-05-28,46.0,46.0,45.0,45.45,708800.0,56.57,55.6,58.52,2.78,3.16,-0.78,-0.76,0
1992-05-29,45.6,45.6,44.2,45.2,722100.0,52.94,54.71,49.4,2.61,3.05,-0.89,-0.76,0
1992-06-01,45.35,46.6,45.35,45.95,925800.0,48.46,52.63,40.13,2.43,2.93,-1.0,-0.75,0
1992-06-02,46.1,46.1,44.25,44.9,797600.0,51.65,52.3,50.34,2.32,2.81,-0.97,-0.77,0
1992-06-03,45.05,45.05,42.0,42.15,531100.0,46.47,50.36,38.69,2.13,2.67,-1.09,-0.81,0
1992-06-04,42.3,42.3,38.68,41.3,958000.0,31.94,44.22,7.39,1.73,2.48,-1.51,-0.83,0
1992-06-05,41.45,42.8,41.4,41.9,970800.0,31.54,40,14.64,1.33,2.25,-1.84,-0.82,0
1992-06-08,42.05,42.05,39.85,41.5,738200.0,33.63,37.87,25.14,1.05,2.01,-1.92,-0.82,0
1992-06-09,41.65,41.65,39.5,39.85,477900.0,33.45,36.4,27.56,0.79,1.77,-1.96,-0.85,0
1992-06-10,39.8,39.9,38.4,39.21,623700.0,27.23,33.34,14.99,0.44,1.5,-2.12,-0.86,0
1992-06-11,39.05,39.2,38.5,38.8,487300.0,21.44,29.37,5.58,0.11,1.22,-2.22,-0.87,0
1992-06-12,38.95,39.0,37.9,38.5,670000.0,15.92,24.89,-2.02,-0.18,0.94,-2.24,-0.88,0
1992-06-16,36.15,36.2,33.25,33.6,767500.0,13.05,20.94,-2.73,-0.43,0.67,-2.19,-0.96,0
1992-06-17,33.45,37.15,32.3,36.9,876100.0,9.69,17.19,-5.31,-1.01,0.33,-2.68,-0.9,0
1992-06-18,36.75,38.3,35.9,36.3,1146400.0,21.06,18.48,26.22,-1.19,0.03,-2.44,-0.91,0
1992-06-19,36.45,36.5,35.0,36.2,667300.0,26.74,21.24,37.75,-1.37,-0.25,-2.23,-0.92,0
1992-06-22,36.05,36.05,34.0,34.25,736500.0,31.16,24.54,44.39,-1.5,-0.5,-1.99,-0.95,0
1992-06-23,34.35,35.8,33.8,35.2,617100.0,27.73,25.6,31.97,-1.74,-0.75,-1.98,-0.93,0
1992-06-24,35.05,35.05,34.2,35.05,588500.0,31.2,27.47,38.67,-1.83,-0.96,-1.73,-0.94,0
1992-06-25,35.15,36.0,35.0,36.0,480100.0,34.09,29.68,42.91,-1.89,-1.15,-1.49,-0.92,0
1992-06-26,36.0,37.6,36.0,37.1,778900.0,41.13,33.5,56.41,-1.85,-1.29,-1.12,-0.9,0
1992-06-29,37.25,40.0,37.25,39.8,989000.0,54.09,40.36,81.55,-1.7,-1.37,-0.66,-0.85,0
1992-06-30,39.95,42.0,39.95,42.0,1047400.0,68.53,49.75,106.08,-1.35,-1.37,0.03,-0.82,0
1992-07-01,42.15,42.85,40.3,40.45,1246700.0,79.02,59.5,118.04,-0.89,-1.27,0.77,-0.84,0
1992-07-02,40.3,40.8,39.35,40.2,1230300.0,77.17,65.39,100.73,-0.64,-1.14,1.01,-0.85,0
1992-07-03,40.05,41.0,40.0,40.95,1005300.0,75.02,68.6,87.86,-0.45,-1.01,1.11,-0.83,0
1992-07-06,41.1,42.6,40.0,40.8,1251600.0,76.35,71.18,86.68,-0.24,-0.85,1.22,-0.84,0
1992-07-07,40.95,41.0,39.7,40.7,730500.0,76.33,72.9,83.2,-0.09,-0.7,1.22,-0.84,0
1992-07-08,40.85,41.0,40.3,40.8,447100.0,75.09,73.63,78.01,0.02,-0.56,1.16,-0.84,0
1992-07-09,40.65,40.65,39.8,39.85,817100.0,73.42,73.56,73.14,0.12,-0.42,1.08,-0.85,0
1992-07-10,39.8,39.8,39.1,39.6,707300.0,64.42,70.51,52.24,0.12,-0.31,0.86,-0.86,0
1992-07-13,39.45,40.5,39.2,40.3,884400.0,47.39,62.81,16.56,0.1,-0.23,0.66,-0.85,0
1992-07-14,40.45,41.2,40.45,40.95,731600.0,42.26,55.96,14.87,0.13,-0.16,0.58,-0.83,0
1992-07-16,40.65,41.7,40.65,41.7,564300.0,45.79,52.57,32.24,0.21,-0.08,0.59,-0.82,0
1992-07-17,41.85,42.4,41.8,42.3,957000.0,55.29,53.48,58.92,0.33,0.0,0.67,-0.81,0
1992-07-20,42.45,45.0,42.45,44.9,881200.0,67.34,58.1,85.82,0.47,0.09,0.75,-0.77,0
1992-07-21,45.0,45.5,44.4,44.6,1098100.0,77.66,64.62,103.74,0.78,0.23,1.1,-0.77,0
1992-07-22,44.5,44.8,44.0,44.65,978700.0,80.42,69.88,101.49,0.99,0.38,1.22,-0.77,0
1992-07-23,44.5,45.5,44.5,45.5,943800.0,82.52,74.1,99.36,1.15,0.54,1.22,-0.76,0
1992-07-24,45.35,46.0,45.2,45.85,1098300.0,88.35,78.85,107.35,1.33,0.69,1.26,-0.75,0
1992-07-29,45.75,46.2,45.4,45.9,700800.0,91.5,83.06,108.36,1.48,0.85,1.25,-0.75,0
1992-07-30,46.0,46.3,45.8,46.3,685600.0,92.59,86.24,105.3,1.59,1.0,1.17,-0.74,0
1992-07-31,46.45,46.5,45.6,45.6,562200.0,95.06,89.18,106.82,1.68,1.14,1.09,-0.75,0
1992-08-03,45.6,46.6,42.8,42.9,681600.0,90.32,89.56,91.85,1.68,1.25,0.88,-0.8,0
1992-08-04,42.75,44.7,42.0,44.2,855500.0,63.83,80.98,29.52,1.45,1.29,0.33,-0.78,0
1992-08-05,44.35,45.0,43.3,44.75,503000.0,58.5,73.49,28.51,1.35,1.3,0.11,-0.77,0
1992-08-06,44.6,44.6,43.7,44.1,405000.0,58.92,68.63,39.51,1.31,1.3,0.01,-0.78,0
1992-08-07,44.0,45.1,43.6,45.0,663600.0,54.5,63.92,35.66,1.2,1.28,-0.16,-0.76,0
1992-08-10,45.15,46.5,45.15,46.2,460900.0,58.07,61.97,50.27,1.18,1.26,-0.16,-0.74,0
1992-08-11,46.3,46.3,42.35,43.75,142000.0,69.15,64.37,78.72,1.25,1.26,-0.03,-0.79,0
1992-08-12,43.9,44.8,43.8,43.9,920400.0,58.78,62.5,51.34,1.09,1.22,-0.28,-0.78,0
1992-08-13,44.0,44.0,41.95,42.4,999800.0,52.96,59.32,40.22,0.96,1.17,-0.42,-0.81,0
1992-08-14,42.25,43.8,41.65,43.7,1119300.0,38.53,52.39,10.81,0.73,1.08,-0.7,-0.79,0
1992-08-17,43.85,45.35,43.85,44.0,1019400.0,39.78,48.19,22.96,0.65,1.0,-0.7,-0.78,0
1992-08-18,44.0,44.0,42.95,43.3,741300.0,42.67,46.35,35.31,0.6,0.92,-0.64,-0.79,0
1992-08-19,43.15,44.0,43.15,43.65,334700.0,39.79,44.16,31.04,0.5,0.83,-0.67,-0.79,0
