date,open,high,low,close,volume,MA.MA1   ,MA.MA2   ,MA.MA3   ,MA.MA4   ,MA.MA5   ,MA.MA6   ,MA.MA7   ,MA.MA8   ,  KDJ.K     ,  KDJ.D     ,  KDJ.J     , MACD.DIF   , MACD.DEA   , MACD.MACD  ,close_adjust
 1991/04/03,49,49,49,49,100,           ,           ,           ,           ,           ,           ,           ,           ,,,,,,,-1.34
 1991/04/04,48.76,48.76,48.76,48.76,300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,0,0,0,-1.35
 1991/04/05,48.52,48.52,48.52,48.52,200,           ,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.02,0,-0.03,-1.35
 1991/04/06,48.28,48.28,48.28,48.28,700,           ,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.05,-0.01,-0.08,-1.35
 1991/04/08,48.04,48.04,48.04,48.04,200,48.52,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.1,-0.03,-0.14,-1.35
 1991/04/09,47.8,47.8,47.8,47.8,400,48.28,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.15,-0.05,-0.19,-1.35
 1991/04/10,47.56,47.56,47.56,47.56,1500,48.04,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.21,-0.09,-0.25,-1.35
 1991/04/12,47.08,47.08,47.08,47.08,800,47.75,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.27,-0.12,-0.3,-1.35
 1991/04/13,46.84,46.84,46.84,46.84,500,47.46,           ,           ,           ,           ,           ,           ,           ,0,0,0,-0.36,-0.17,-0.38,-1.35
 1991/04/16,46.38,46.38,46.38,46.38,200,47.13,47.83,           ,           ,           ,           ,           ,           ,0,0,0,-0.44,-0.22,-0.43,-1.36
 1991/04/17,46.15,46.15,46.15,46.15,100,46.8,47.54,           ,           ,           ,           ,           ,           ,0,0,0,-0.54,-0.29,-0.5,-1.36
 1991/04/18,45.92,45.92,45.92,45.92,400,46.47,47.26,           ,           ,           ,           ,           ,           ,0,0,0,-0.62,-0.35,-0.54,-1.36
 1991/04/19,45.69,45.69,45.69,45.69,200,46.2,46.97,           ,           ,           ,           ,           ,           ,0,0,0,-0.7,-0.42,-0.56,-1.36
 1991/04/20,45.46,45.46,45.46,45.46,500,45.92,46.69,           ,           ,           ,           ,           ,           ,0,0,0,-0.77,-0.49,-0.56,-1.36
 1991/04/23,45,45,45,45,2800,45.64,46.39,           ,           ,           ,           ,           ,           ,0,0,0,-0.84,-0.56,-0.56,-1.36
 1991/04/24,44.78,44.78,44.78,44.78,1600,45.37,46.09,           ,           ,           ,           ,           ,           ,0,0,0,-0.92,-0.63,-0.57,-1.36
 1991/04/25,44.56,44.56,44.56,44.56,1500,45.1,45.79,           ,           ,           ,           ,           ,           ,0,0,0,-0.99,-0.71,-0.57,-1.36
 1991/04/26,44.34,44.34,44.34,44.34,800,44.83,45.51,           ,           ,           ,           ,           ,           ,0,0,0,-1.05,-0.77,-0.55,-1.36
 1991/04/29,43.9,43.9,43.9,43.9,400,44.52,45.22,           ,           ,           ,           ,           ,           ,0,0,0,-1.1,-0.84,-0.53,-1.37
